town,flat_type,resale_price
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
TAMPINES,EXECUTIVE,739888
JURONG EAST,EXECUTIVE,739000
JURONG EAST,EXECUTIVE,738000
JURONG EAST,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,738000
TAMPINES,EXECUTIVE,735000
TAMPINES,EXECUTIVE,735000
TAMPINES,EXECUTIVE,735000
TAMPINES,EXECUTIVE,735000
TAMPINES,EXECUTIVE,735000
TAMPINES,EXECUTIVE,730888
JURONG EAST,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
TAMPINES,EXECUTIVE,730000
JURONG EAST,EXECUTIVE,728000
TAMPINES,EXECUTIVE,728000
TAMPINES,EXECUTIVE,728000
TAMPINES,EXECUTIVE,728000
TAMPINES,EXECUTIVE,728000
TAMPINES,EXECUTIVE,728000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,725000
TAMPINES,EXECUTIVE,723888
TAMPINES,EXECUTIVE,723888
TAMPINES,EXECUTIVE,723000
JURONG EAST,EXECUTIVE,722000
TAMPINES,EXECUTIVE,722000
TAMPINES,EXECUTIVE,720888
JURONG EAST,EXECUTIVE,720000
